station_name,latitude,longitude,location_type
"Quang Binh Province, Vietnam",17.6108,106.425,urban
"An Xuan, Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,urban
"Quang Nam, Vietnam",15.5774,108.4741,urban
"Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,urban
"Nguyen Nghiem, Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,urban
"Quang Ngai, Vietnam",15.1205,108.7243,urban
"Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,urban
"Bach ang, Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Cam Pha, Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Cam Pha, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Cam Trung, Cam Pha, Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Ha Long, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Gan KCN Cai Lan, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,industrial
"Quang Ninh K11 Minh Thanh, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Nam Cau Trang, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Quang Ninh Trung tam van hoa the thao Cam Pha, Cam Pha, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Yen My, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,urban
"Quang Tri, Vietnam",16.7386,107.0911,urban
"Vietnam 3 PurpleAir, Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,urban
"Son La P To Hieu KTTV Tram cam bien, Son La, Son La, Vietnam",21.325,103.918,urban
"Son La, Son La, Vietnam",21.325,103.918,urban
"Son La, Vietnam",21.325,103.918,urban
"Tay Ninh Phuong 3 TP Tay Ninh, Tay Ninh, Tay Ninh, Vietnam",11.3667,106.1333,urban
"Tay Ninh, Tay Ninh, Vietnam",11.3667,106.1333,urban
"Tay Ninh, Vietnam",11.3667,106.1333,urban
"Bo Xuyen, Thanh pho Thai Binh, Thai Binh, Vietnam",20.5345,106.3495,urban
"Phu Xuan, Thai Binh, Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh, Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh, Vietnam",20.5345,106.3495,urban
"Thanh pho Thai Binh, Thai Binh, Vietnam",20.5345,106.3495,urban
"Mo Che, Thanh pho Song Cong, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Quan Trieu, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thai Nguyen Hung Vuong Street Thai Nguyen City, Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thanh pho Song Cong, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Trung Thanh, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Phuong Tinh Hai, Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Thua Thien Hue 83 Hung Vuong, Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Khom 9, Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Tra Vinh xa Dan Thanh, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,rural
"Tra Vinh xa Dong Hai, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,rural
"Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,rural
"Tan Yen, Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,rural
"Tuyen Quang Province, Vietnam",21.823,105.2149,urban
"Khom 1, Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,rural
"Khom 3, Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,urban
"Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,urban
"Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,rural
"Vinh Long, Vietnam",10.0833,105.9667,urban
"Ha Noi UBND xa Thanh Xuan Soc Son, Vinh Yen, Vinh Phuc, Vietnam",21.3609,105.5973,rural
"Vinh Phuc, Vietnam",21.3609,105.5973,urban
"Vinh Yen, Vinh Phuc, Vietnam",21.3609,105.5973,urban
